Breakfast Menu List,Serving size,Calories,Fat (G),Sat. Fat (G),Trans Fat (G),Cholesterol (MG),Sodium (MG),Carbohydrates (G),Fiber (G),Sugar (G),Protein (G),,,,,,,,,,,
Salads Menu List,,,,,,,,,,,,,,,,,,,,,,
Salads,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Cobb Salad,411g,830,60,13,0,230,2220,31,5,8,42,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Spicy Southwest Salad,424g,680,49,10,0,100,1570,27,7,7,33,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Market Salad,326g,550,31,6,0,80,1010,42,5,26,28,,,,,,,,,,,
Sides Menu List,,,,,,,,,,,,,,,,,,,,,,
Sides,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Chick-fil-A Waffle Potato Fries®,125g,420,24,4,0,0,240,45,5,1,5,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Fruit Cup,125g,70,0,0,0,0,0,16,2,12,1,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Side Salad,166g,470,42,8,0,35,700,14,4,5,6,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Mac & Cheese,227g,450,29,16,0,70,1190,28,3,3,20,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Chicken Noodle Soup,233g,170,4,1,0,30,1220,25,1,1,10,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Kale Crunch Side,112g,170,12,1.5,0,0,250,13,4,8,4,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Berry Parfait,206g,270,9,3.5,0,20,85,35,1,26,13,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Waffle Potato Chips,43g,220,13,3.5,0,0,250,25,2,0,3,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Buddy Fruits® Apple Sauce,90g,45,0,0,0,0,0,12,1,8,0,,,,,,,,,,,
Kid's Meals (nutrition per entrée only) Menu List,,,,,,,,,,,,,,,,,,,,,,
Kid's Meals (nutrition per entrée only),,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
5 Ct Nuggets Kid's Meal,71g,160,7,1.5,0,50,760,7,0,1,17,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
2 Ct Chick-n-Strips™ Kid's Meal,91g,200,9,2,0,50,580,11,0,1,19,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
5 Ct Grilled Nuggets Kid's Meal,59g,80,2,0,0,55,270,1,0,0,16,,,,,,,,,,,
Treats Menu List,,,,,,,,,,,,,,,,,,,,,,
Treats,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Pineapple Dragonfruit Frosted Lemonade Beverages,376g,360,7,4.5,0,25,150,70,0,63,7,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Frosted Lemonade,383g,350,7,4.5,0,25,135,67,0,65,7,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Frosted Coffee,374g,260,7,4.5,0,25,140,45,0,44,7,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Chocolate Chunk Cookie,78g,370,17,9,0,15,230,49,3,26,5,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Chocolate Fudge Brownie,85g,370,21,8,0,65,140,47,2,35,4,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Cookies & Cream Milkshake,409g,630,25,15,1,85,430,91,1,84,13,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Chocolate Milkshake,409g,600,22,13,1,85,360,93,1,90,12,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Strawberry Milkshake,409g,560,18,11,0.5,70,370,92,1,86,10,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Vanilla Milkshake,409g,580,23,15,1,90,390,82,1,80,13,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Chick-fil-A® Icedream® Cone,135g,180,4,2.5,0,15,90,32,0,25,4,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Chick-fil-A® Icedream® Cup,122g,140,3.5,2.5,0,15,75,24,0,24,4,,,,,,,,,,,
Drinks Menu List,,,,,,,,,,,,,,,,,,,,,,
Drinks,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Pineapple Dragonfruit Beverages,654g,230,0,0,0,0,15,56,0,47,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Freshly-Brewed Iced Tea Sweetened,562g,100,0,0,0,0,0,26,0,26,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Freshly-Brewed Iced Tea Unsweetened,547g,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Chick-fil-A® Lemonade,600g,270,0,0,0,0,0,69,0,63,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Chick-fil-A® Diet Lemonade,600g,60,0,0,0,0,10,16,0,12,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"Sunjoy® (1/2 Sweet Tea, 1/2 Lemonade)",557g,180,0,0,0,0,0,45,0,43,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"Sunjoy® (1/2 Sweet Tea, 1/2 Diet Lemonade)",551g,100,0,0,0,0,0,25,0,24,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"Sunjoy® (1/2 Unsweet Tea, 1/2 Lemonade)",551g,90,0,0,0,0,0,25,0,23,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"Sunjoy® (1/2 Unsweet Tea, 1/2 Diet Lemonade)",551g,20,0,0,0,0,0,6,0,4,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Iced Coffee,661g,200,4,2.5,0,20,110,34,0,34,7,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Coca-Cola®,469g,190,0,0,0,0,65,53,0,53,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Dr Pepper®,434g,180,0,0,0,0,75,48,0,47,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Red Flash,482g,200,0,0,0,0,40,53,0,53,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
DASANI® Bottled Water,479g,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Honest Kids® Apple Juice,170g,35,0,0,0,0,15,9,0,8,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Simply Orange®,326g,160,0,0,0,0,10,34,0,30,2,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
1% Chocolate Milk,198g,140,2,1.5,0,10,160,23,0,21,7,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
1% Milk,213g,90,2,1.5,0,10,105,10,0,10,7,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Coffee,340g,0,0,0,0,0,10,0,0,0,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Gallon Beverages,3884g,2090,1.5,0,0,0,95,549,2,517,2,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Ice Products,298g,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
Dipping Sauces Menu List,,,,,,,,,,,,,,,,,,,,,,
Dipping Sauces,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Barbeque Sauce,28g,45,0,0,0,0,200,11,0,9,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Chick-fil-A® Sauce,28g,140,13,2,0,10,170,6,0,6,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Garden Herb Ranch Sauce,28g,140,15,2.5,0,10,220,1,0,1,1,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Honey Mustard Sauce,28g,50,0,0,0,0,160,11,0,10,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Polynesian Sauce,28g,110,6,1,0,0,210,14,0,13,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Sweet & Spicy Sriracha Sauce,28g,45,0,0,0,0,380,11,0,10,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Zesty Buffalo Sauce,21g,25,2.5,0,0,5,570,1,0,0,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Honey Roasted BBQ Sauce,12g,60,5,1,0,5,75,3,0,2,0,,,,,,,,,,,
Dressings Menu List,,,,,,,,,,,,,,,,,,,,,,
Dressings,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Avocado Lime Ranch Dressing,57g,310,32,5,0,25,520,3,1,2,1,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Creamy Salsa Dressing,57g,290,31,5,0,25,630,2,0,1,1,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Fat-Free Honey Mustard Dressing,57g,90,0,0,0,0,330,22,1,18,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Garden Herb Ranch Dressing,57g,280,29,5,0,25,440,2,0,1,1,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Light Balsamic Vinaigrette Dressing,57g,80,4,0.5,0,0,360,10,0,9,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Light Italian Dressing,57g,25,1,0,0,0,470,3,0,2,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Zesty Apple Cider Vinaigrette Dressing,56g,230,19,3,0,0,450,16,0,14,0,,,,,,,,,,,
Buns Menu List,,,,,,,,,,,,,,,,,,,,,,
Buns,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Gluten Free Bun,79g,180,3.5,0,0,0,400,37,2,7,3,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Buttery White Bun,60g,180,6,1,0,0,240,29,1,4,5,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Multigrain Brioche Bun,71g,210,4.5,1,0,0,310,38,3,7,7,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
White Bun (Unbuttered),54g,150,1,0,0,0,240,28,1,4,5,,,,,,,,,,,
Proteins Menu List,,,,,,,,,,,,,,,,,,,,,,
Proteins,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Grilled Breakfast Filet,50g,60,1,0,0,40,420,0,0,0,13,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Bacon,10g,50,3.5,1.5,0,10,210,0,0,0,4,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Chick-fil-A® Breakfast Filet,71g,160,8,1.5,0,45,750,8,0,2,15,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Sausage,57g,240,22,8,0,35,430,1,0,0,11,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Spicy Breakfast Filet,62g,130,6,1.5,0,35,710,6,0,1,14,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Grilled Filet,84g,110,2,0,0,70,370,1,0,1,21,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Spicy Filet,120g,280,13,2.5,0,65,1390,16,1,2,23,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Chick-fil-A® Filet,115g,250,12,2.5,0,70,1120,12,0,1,24,,,,,,,,,,,
Salad Toppings Menu List,,,,,,,,,,,,,,,,,,,,,,
Salad Toppings,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Blue Cheese Crumbles,9g,30,2.5,1.5,0,10,110,0,0,0,2,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Chili Lime Pepitas,14g,80,7,1,0,0,50,2,1,0,4,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Crispy Bell Peppers,14g,80,6,0,0,0,75,6,0,0,1,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Harvest Nut Granola,14g,70,2,0,0,0,35,10,0,4,1,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Roasted Nut Blend,10g,70,6,0.5,0,0,0,2,1,1,1,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Seasoned Tortilla Strips,14g,70,4,0,0,0,55,8,1,0,1,,,,,,,,,,,
Sandwich Toppings Menu List,,,,,,,,,,,,,,,,,,,,,,
Sandwich Toppings,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Bacon,10g,50,3.5,1.5,0,10,210,0,0,0,4,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Lettuce,20g,5,0,0,0,0,5,1,0,0,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Tomato,30g,5,0,0,0,0,0,1,0,1,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
American Cheese,14g,50,4.5,2.5,0,15,230,1,0,0,3,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Colby Jack Cheese,21g,80,7,4,0,20,140,0,0,0,5,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Pepper Jack Cheese,21g,80,6,4,0,20,140,0,0,0,4,,,,,,,,,,,
Soup Toppings Menu List,,,,,,,,,,,,,,,,,,,,,,
Soup Toppings,12g,50,1,0,0,0,180,9,0,0,1,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Saltines,234g,460,18,8,0,120,1070,32,3,8,41,,,,,,,,,,,
Trays Menu List,,,,,,,,,,,,,,,,,,,,,,
Trays,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Grilled Chicken Bundle  (per sandwich),249g,540,19,8,0,110,1390,54,3,18,38,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Smokehouse BBQ Bacon Bundle*  (per sandwich),14g,30,1.5,0,0,10,150,1,0,0,3,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Hot Chick-fil-A® Nugget Trays,14g,30,1.5,0,0,10,150,1,0,0,3,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Chilled Chick-fil-A® Nugget Trays,47g,110,5,1,0,25,300,6,0,1,10,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Hot Chick-n-Strips™ Trays,47g,110,5,1,0,25,300,6,0,1,10,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Chilled Chick-n-Strips™ Trays,115g,220,6,2.5,0,45,490,25,2,4,18,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Chilled Grilled Chicken Sub Sandwich Tray,115g,220,6,2.5,0,40,660,25,2,5,16,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Spicy Chilled Grilled Chicken Sub Sandwich Tray,116g,170,7,2,0,45,450,15,6,1,21,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Chick-fil-A® Cool Wrap Trays,128g,170,8,3,0,10,310,17,8,2,13,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Southwest Veggie Wrap Trays,116g,170,7,2,0,40,630,15,7,2,20,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Spicy Cool Wrap® Trays,1446g,780,0,0,0,0,0,182,29,134,8,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Mac & Cheese Tray,595g,310,18,11,0.5,55,420,20,9,11,19,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Garden Salad Tray,610g,1160,87,9,0,0,1420,77,23,42,30,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Kale Crunch Side Tray,78g,370,17,9,0,15,230,49,3,26,5,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Chocolate Chunk Cookie Tray,43g,190,10,4,0,35,70,23,1,18,2,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Chocolate Fudge Brownie Tray,60g,280,14,7,0,25,150,36,2,22,3,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Cookie & Brownie Tray,183g,420,18,3.5,0,70,1460,41,1,6,29,,,,,,,,,,,
Catering Entrées Menu List,,,,,,,,,,,,,,,,,,,,,,
Catering Entrées,188g,450,19,4,0,65,1730,45,1,6,28,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Chick-fil-A® Chicken Sandwich,113g,250,11,2.5,0,85,1210,11,0,1,27,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Spicy Chicken Sandwich,230g,440,12,5,0,90,980,49,5,9,36,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Chick-fil-A® Nuggets,230g,440,12,5,0,85,1330,50,5,9,34,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Chilled Grilled Chicken Sub Sandwich,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Spicy Chilled Grilled Chicken Sub Sandwich,,,,,,,,,,,,,,,,,,,,,,
Catering Drinks Menu List,,,,,,,,,,,,,,,,,,,,,,
Catering Drinks,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Gallon Pineapple Dragonfruit Lemonade,3941g,2460,0,0,0,0,130,613,3,512,4,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"Gallon Pineapple Dragonfruit Sunjoy® (1/2 Sweet Tea, 1/2 Lemonade)",3941g,2060,0,0,0,0,130,513,1,438,2,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Gallon Pineapple Dragonfruit Sweet Tea,3941g,1740,0,0,0,0,130,432,0,377,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Gallon Freshly-Brewed Iced Tea Sweetened,4167g,1540,0,0,0,0,115,398,0,397,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Gallon Freshly-Brewed Iced Tea Unsweetened,3808g,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"Gallon Chick-fil-A® Iced Tea (1/2 Sweet Tea, 1/2 Unsweet Tea)",3904g,790,0,0,0,0,0,205,0,205,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Gallon Chick-fil-A® Lemonade,3884g,2090,1.5,0,0,0,95,549,2,517,2,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Gallon Chick-fil-A® Diet Lemonade,3716g,460,1.5,0,0,0,95,126,2,91,3,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"Gallon Chick-fil-A® Lemonade (1/2 Lemonade, 1/2 Diet Lemonade)",3989g,1390,0.5,0,0,0,40,389,1,350,1,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"Gallon Sunjoy® (1/2 Sweet Tea, 1/2 Lemonade)",4176g,1970,0,0,0,0,0,506,2,481,2,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"Gallon Sunjoy® (1/2 Sweet Tea, 1/2 Diet Lemonade)",3997g,1030,1,0,0,0,50,270,1,252,1,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"Gallon Sunjoy® (1/2 Unsweet Tea, 1/2 Lemonade)",3898g,1170,0,0,0,0,0,301,2,276,2,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"Gallon Sunjoy® (1/2 Unsweet Tea, 1/2 Diet Lemonade)",3719g,240,1,0,0,0,50,65,1,47,1,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
DASANI® Bottled Water,479g,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Simply Orange®,326g,160,0,0,0,0,10,34,0,30,2,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Bottled Sweet Tea,506g,190,0,0,0,0,15,48,0,48,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Bottled Unsweet Tea,486g,0,0,0,0,0,15,0,0,0,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Bottled Lemonade,520g,280,0,0,0,0,10,73,0,69,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Bottled Diet Lemonade,492g,60,0,0,0,0,10,17,0,12,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Honest Kids® Apple Juice,170g,35,0,0,0,0,15,9,0,8,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
1% Milk,213g,90,2,1.5,0,10,105,10,0,10,7,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
1% Chocolate Milk,198g,140,2,1.5,0,10,160,23,0,21,7,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Bag of Ice,28g,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Ice Scoop,0g,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Ice Bucket and Scoop,0g,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Catering Coffee,2722g,0,0,0,0,0,80,0,0,0,0,,,,,,,,,,,
